w1,w2
คำผวน,ควนผำ
นอนแล้ว,แนวล้อน
ตะปู,ตูปะ
นักเรียน,เนียนรัก
ขนม,ขมหนะ
เรอทัก,รักเทอ
ลองดู,ลูดอง
เจอพี่,จีเพ่อ
เรอมัก,รักเมอ
อาไบ้,ไอบ้า
หิวข้าว,หาวขิ้ว
กะหล่ำ,ก่ำหละ
เจอหมึก,จึกเมอ
มะนาวต่างดุ๊ด,มะนุดต่างดาว
กาเป็นหมู,กูเป็นหมา
ก้างใหญ่,ใก้หญ่าง
อะหรี่ดอย,อะหร่อยดี
นอนแล้ว,แนวล้อน
ตะปู,ตูปะ
นักเรียน,เนียนรัก
ขนม,ขมหนะ
เรอทัก,รักเทอ
สวัสดี,สะวีดัส
เจออยู่ที่ไทย,ใจอยู่ที่เธอ
เชี่ยเธอนะนอบ,"ชอบเธอนะเนี่ย

"
แสงดี,สีแดง
แช่งมั่ง,ชั่งแม่ง
นายห,นกยา
คั่นกู,คู่กัน
คั่นกลาง,ข้างกัน
ดิสกว่าที่คีย์,ดีกว่าที่คิด
ล้าเธอนัก,รักเธอน้า
เรอแต่ทัก,รักแต่เธอ
เบลอว่าชอบแถบ,"แบบว่าชอบเธอ

"
เมาเป็นแฟนรา,มาเป็นแฟนเรา
ไหล่โดนจอ,หล่อโดนใจ
เจอละไม,ใจละเมอ
ฟันแกน,แฟนกัน
ชู้แต่เธอไม่รอบ,ชอบแต่เธอไม่รู้
แขนเป็นฟอ,ขอเป็นแฟน
ไข้ที่ชล,คนที่ใช่
"ดอยหมอ
",ดอหมอย
ดอยติดหมอ,ดอติดหมอย
ดอยนี้มีแต่หมอ,ดอนี้มีแต่หมอย
ดอยหมู,ดูหมอย
ดอยหมึง,ดึงหมอย
ดอยหึง,ดึงหอย
ดอยไหม,ไดร์หมอย
ดอยหม,ดมหมอย
คนล่องหวย,ควยล่องหน
หมีจับหวย,หมวยจับหี
หมีเล่นหวย,หมวยเล่นหี
หมีคลำหวย,หมวยคลำหี
หมีขายหวย,หมวยขายหี
หวยลำเค็ญ,เหม็นลำควย
หวยเคน,เห็นควย
"หวยอาหมี

",หีอาหมวย
หวยเมาคลี,หีเมาควย
หวยสี,หีสวย
สีเหียว,เสียวหี
"หวยคลุกคลี
",หีคลุกควย
คีย์แทงหวย,ควยแทงหี
หวยโค,โหควย
หวยคาร์,หาควย
หวยซี,หีซวย
โครมหักหวย,ควยหักโหม
ผีกาลกิณัว,ผัวกาลกิณี
ผีจับหัว,ผัวจับหี
ผีไร้หัว,ผัวไร้หี
ผีไม่มัว,ผัวไม่มี
ผีเหา,เผาหี
ผีเอาฮา,พาเอาหี
ผีห่าน,ผ่านหี
ผีไร้ห้อง,พ่องไร้หี
ผีบังห้า,ผ้าบังหี
ผีเห็ด,เผ็ดหี
ผีเล่นฮอน,พรเล่นหี
ผีกับเฮีย,เพลียกับหี
ผีไม่สนหัว,ผัวไม่สนหี
ใช้หัวจำ,ช้ำหัวใจ
เอดส์ยศ,อดเย็ด
เห็นหมี,หีเหม็น
เค้กไม่รวย,ควยไม่เล็ก
ไข่พาดรวย,ควยพาดไหล่
เค้กรวย,ควยเล็ก
ครกซกมวย,ควยซกมก
โค้กแข็งปวย,ควยแข็งโป๊ก
หูไม่น่าดี,หีไม่น่าดู
เพชรยักษ์,พักเย็ด
ยักษ์ไม่มีเพชร,เย็ดไม่มีพัก
แบกไหขึ้นรถฟรี,แบกหีขึ้นรถไฟ
อุปสมบท,อดผสมบุตร
สูดรูเตียว,เสียวรูตู
ชางเหมียง,เชียงใหม่
ชายเรียง,เชียงราย
,
เพรชยุ่ง,พุ่งเย็ด
เพชรกระไดยิง,พิงกระไดเย็ด
เพชรมายา,พามาเย็ด
เพชรกันยา,พากันเย็ด
เพชรกันหยัด,ผลัดกันเย็ด
เพชรกำแพงยิง,พิงกำแพงเย็ด
ยักไม่มีเพชร,เย็ดไม่มีพัก
ยักไม่ให้เพชร,เย็ดไม่ให้พัก
เพชรย้อม,พร้อมเย็ด
พาเพชรมายะ,พาพระมาเย็ด
พาเพชรมาแยะ,พาแพะมาเย็ด
เพชรจับยัว,ผัวจับเย็บ
สีแหบ,แสบหี
สีเหียว,เสียวหี
สีดูหุ้ม,ซุ้มดูหี
สีเฮี่ยน,เสี้ยหี
สีเหียบ,เสียบหี
สี่หาย,สายหี
สีหัก,สักหี
หมอยู,หมูยอ
ถาวฝักยัว,ถั่วฝักยาว
ไกปู,กูไป
คิงรวย,ควยลิง
มวยโค๊ก,โม๊กควย
หมูกะโจ๊ก,โม๊กกะจู๋
ขวดตำรวย,ควยตำรวย
ลีเหีย,เลียหี
ฟูยัก,ฟักยู
ผีดูหัว,ผัวดูหี
พรมลัด,พัดลม
เชี่ยนะนอบ,ชอบนะเนี้ย
ขาดน้วม,ขวดน้ำ
ถอยหมอน,ถอนหมอย
หมออ้อย,หมอย
หมากระทุ,หมุกระทะ
แต้ชู้,ตู้แช่
ลิ้นจี่หน้าหอ,ลิ้นจอหน้าหี
ถอกระดอก,ถอกกระดอ
กบโดนต้ม,ก้มโดนตบ
หมออยู่บนดอย,หมอยอยู่บนดอ
,
เจ็ดยับ,จับเย็ด
ยูประดุกฟัม,ยำปลาดุกฟู
ยำปลาจาราเม็ด,เย็ดปลาจารามัม
,
พายมึงต้อ,พ่อมึงตาย
เปิดหูละหน้าดี,เปิดหีละน่าดู
,
ม้านางฝอย,หมอยนางฟ้า
จานพยาบิม,จิ๋มพายาบาล
คอหมวย,ควยหมอ
ไหมเส้นหย่อยๆ,หมอยเส้นใหญ่
จากระแทกขิม,จิ๋มกระแทกขา
บีแห่,แบหี
คลังพะลุงพะลวย,ควยพะลุงพะลัง
อย่ามาออตรงกระได,อย่ามาไอตรงกระดอ
เหี้ยนะห่วง,ห่วงนะเนี้ย
รอซื้อกระดุม,รุมซื้อกระดอ
เหี้นเท่าเกาะสะหมี,หีเท่าเกาะเสม็ด
จอดับ,จับดอ
จี๋เห็บ,เจ็บหี
หอโดนดี,หีโดนดอ
ผีทะลวงหัว,ผัวทะลวงหี
น้ำมันหมีเข้าหู,น้ำมันหมูทอดหี
หาดโดนฉีขี,หีโดนฉีกขาด
สหมีเหอ,สเมอหนี
น้ำตาลในรูทะแวก,น้ำแตกในรูทะวาน
ก้างใหญ่,ไก่ย่าง
มดทรยิด,มิตรทรยศ
แมวกัน,มันแกว
ปาสายเต้า,เป้าสายตา
เศษซะกี๋,ศรีสะเกด
ขวดตำรุน,คุณตำรวย
หมอกจิ้งจา,หมาจิ้งจอก
สีกระแทกเหา,เสากระแทกหี
กระเป๋าไดโนโสก,กระโปกไดโนเสา
ไตหาหัวจาม,ตามหาหัวใจ
มันเป็นแฟกา,มาเป็นแฟนกัน
เว้นวรรคให้เทอไลค์,เว้นไว้ให้เธอรัก
ลาหรือปั๊ก,รักรึป่าว
ผักไหมถ้าจะริบ,ผิดไหมที่จะรัก
ลบเธอเทอไม่รุ้จัก,รักเธอไม่รุ้จบ
ดวงจันทร์ไม่เคยห่างไกล,ดวงใจไม่เคยห่างกัน
เจอมีแต่ไท,ใจมีแต่เธอ
โล่นะเด็กงัก,รักนะเด็กโง่
หยอดให้เธอกาก,อยากให้เธอกอด
ยักให้บอหหลาก,อยากให้บอกรัก
ออบไม่ต่าน,อ่านไม่ตอบ
