input,output,instruction
"Why is the sky so blue today?","ทำไมท้องฟ้าวันนี้ถึงมีสีคราม",แปลอังกฤษเป็นภาษาไทย
"Why is the sky so blue today?","วันนี้ท้องฟ้าเป็นสีฟ้าอย่างไรมา",แปลอังกฤษเป็นภาษาไทย
"Why is the sky so blue today?","สีฟ้าของท้องฟ้าวันนี้มาจากอะไร",แปลอังกฤษเป็นภาษาไทย
"Why is the sky so blue today?","ทำไมวันนี้ท้องฟ้าถึงดูฟ้ามาก",แปลอังกฤษเป็นภาษาไทย
"Why is the sky so blue today?","สาเหตุใดทำให้ท้องฟ้าวันนี้มีสีฟ้า",แปลอังกฤษเป็นภาษาไทย
"Why is the sky so blue today?","ทำไมท้องฟ้าวันนี้ถึงมีสีคราม?",แปลอังกฤษเป็นภาษาไทย
"Why is the sky so blue today?","ฟ้าวันนี้เป็นสีฟ้าเพราะอะไร",แปลอังกฤษเป็นภาษาไทย
"",ทางการศรีลังกาเชื่อว่าเหตุระเบิดที่เกิดขึ้นทั้งหมดมีความเกี่ยวพันกับเครือข่ายก่อการร้ายต่างชาติ ขณะนี้มีรายงานผู้เสียชีวิตมากถึง 290 คน บาดเจ็บอีก 500 คน ,แปลอังกฤษเป็นภาษาไทย
"Sri Lankan officials believe all of the bombs are linked to a foreign terrorist network  At present, there are at least 290 dead, and",ทางการศรีลังกาเชื่อว่าเหตุระเบิดที่เกิดขึ้นทั้งหมดมีความเกี่ยวพันกับเครือข่ายก่อการร้ายต่างชาติ ขณะนี้มีรายงานผู้เสียชีวิตมากถึง 290 คน บาดเจ็บอีก 500 คน ,แปลอังกฤษเป็นภาษาไทย
"Sri Lankan officials believe all of the bombs are linked to a foreign terrorist network  At present, there are at least 290 dead, and",เจ้าหน้าที่ศรีลังกาเชื่อว่าการระเบิดที่เกิดขึ้นทั้งหมดเกี่ยวข้องกับเครือข่ายก่อการร้ายต่างชาติ ในขณะนี้รายงานว่าหนึ่งในผู้เสียชีวิตเป็นจำนวน 290 คนและผู้บาดเจ็บอีก 500 คน,แปลอังกฤษเป็นภาษาไทย
"A German bomb squad has recovered a large World War II bomb in Frankfurt, Germany, after finding it on Aug  30 ",คณะเจ้าหน้าที่เก็บกู้วัตถุระเบิดในเยอรมนีประสบความสำเร็จในการเก็บกู้ระเบิดขนาดใหญ่ในสมัยสงครามโลกครั้งที่ 2 ในนครแฟรงก์เฟิร์ต หลังจากพบระเบิดลูกนี้ เมื่อวันพุธที่ 30 สิงหาคมที่ผ่านมา,แปลอังกฤษเป็นภาษาไทย
"A German bomb squad has recovered a large World War II bomb in Frankfurt, Germany, after finding it on Aug  30 ",คณะทีมผู้บังคับบัญชาการสำนักงานฝ่ายกู้ภัยวัตถุระเบิดในประเทศเยอรมันประสบความสำเร็จในการสกัดกู้ระเบิดขนาดใหญ่ในช่วงสงครามโลกครั้งที่สองที่เกิดขึ้นในเมืองแฟรงก์เฟิร์ต หลังจากค้นพบวงจรระเบิดรุนแรงนี้ในวันพุธที่ 30 สิงหาคมที่ผ่านมา,แปลอังกฤษเป็นภาษาไทย
