input,output,instruction
"Sri Lankan officials believe all of the bombs are linked to a foreign terrorist network  At present, there are at least 290 dead, and",ทางการศรีลังกาเชื่อว่าเหตุระเบิดที่เกิดขึ้นทั้งหมดมีความเกี่ยวพันกับเครือข่ายก่อการร้ายต่างชาติ ขณะนี้มีรายงานผู้เสียชีวิตมากถึง 290 คน บาดเจ็บอีก 500 คน ,แปลอังกฤษเป็นภาษาไทย
"Sri Lankan officials believe all of the bombs are linked to a foreign terrorist network  At present, there are at least 290 dead, and",เจ้าหน้าที่ศรีลังกาเชื่อว่าการระเบิดที่เกิดขึ้นทั้งหมดเกี่ยวข้องกับเครือข่ายก่อการร้ายต่างชาติ ในขณะนี้รายงานว่าหนึ่งในผู้เสียชีวิตเป็นจำนวน 290 คนและผู้บาดเจ็บอีก 500 คน,แปลอังกฤษเป็นภาษาไทย
"A German bomb squad has recovered a large World War II bomb in Frankfurt, Germany, after finding it on Aug  30 ",คณะเจ้าหน้าที่เก็บกู้วัตถุระเบิดในเยอรมนีประสบความสำเร็จในการเก็บกู้ระเบิดขนาดใหญ่ในสมัยสงครามโลกครั้งที่ 2 ในนครแฟรงก์เฟิร์ต หลังจากพบระเบิดลูกนี้ เมื่อวันพุธที่ 30 สิงหาคมที่ผ่านมา,แปลอังกฤษเป็นภาษาไทย
"A German bomb squad has recovered a large World War II bomb in Frankfurt, Germany, after finding it on Aug  30 ",คณะทีมผู้บังคับบัญชาการสำนักงานฝ่ายกู้ภัยวัตถุระเบิดในประเทศเยอรมันประสบความสำเร็จในการสกัดกู้ระเบิดขนาดใหญ่ในช่วงสงครามโลกครั้งที่สองที่เกิดขึ้นในเมืองแฟรงก์เฟิร์ต หลังจากค้นพบวงจรระเบิดรุนแรงนี้ในวันพุธที่ 30 สิงหาคมที่ผ่านมา,แปลอังกฤษเป็นภาษาไทย
"Krabi police have arrested a suspect in a drugs and robbery case, after a key to the detention cell at Phang Nga Police Station was stolen ",ตำรวจพังงา แถลงจับผู้ต้องหาคดีเสพยา ลักทรัพย์ หลังสะเดาะกุญแจห้องขัง สภ ตะกั่วป่า หลบหนี ตามล่าตัวเจอบนรถสิบล้อเก่าในสวนปาล์ม รับใช้ลวดแค่เส้นเดียว บอกได้วิชาจากเพื่อนในคุก,แปลอังกฤษเป็นภาษาไทย
"Krabi police have arrested a suspect in a drugs and robbery case, after a key to the detention cell at Phang Nga Police Station was stolen ",ตำรวจในพังงาได้แถลงข่าวว่าจับผู้ต้องหาที่มีแนวคดีเกี่ยวกับการใช้ยาเสพติดและการลักทรัพย์อย่างสะดวกหลังจากที่พวกเขาสะเดาะกุญแจห้องขังในสถานีตำรวจตะกั่วป่าแล้วหลบหนี ตำรวจตามล่าเขาจนพบบุคคลนั้นบนรถสิบล้อเก่าที่สวนปาล์ม พวกเขาใช้ความชำนาญในการทำลวดเพียงเส้นเดียวเท่านั้น และได้รับข้อมูลจากเพื่อนที่อยู่ในคุกเอง,แปลอังกฤษเป็นภาษาไทย
"Tonight (July 17) there will be the Thai Fight 2012, the first match, at Praya Harbor in Pattaya, where the weigh  in was held for the fighters yesterday  Sompong is not present, and the promoters say his match has been canceled  This is almost 100% confirmation that he will not be fighting ", คืนนี้ ( 17 เม ย ) จะมีการแข่งขันไทยไฟท์2012 นัดแรก หรือ นัดโชว์ตัว ที่แหลมบาลีฮาย พัทยา ซึ่งล่าการชั่งน้ำหนักนักมวยเมื่อวานนี้ บัวขาว ไม่มาปรากฎตัว รวมทั้งโปรโมเตอร์ บอกว่าไ ด้ตัดคู่ของบัวขาวออกไปแล้วเป็นการยืนยันค่อนข้าง 100 เปอร์เซ็นต์ว่า บัวขาวจะขึ้นชกไม่ได้อย่างแน่นอน,แปลอังกฤษเป็นภาษาไทย
"Tonight (July 17) there will be the Thai Fight 2012, the first match, at Praya Harbor in Pattaya, where the weigh  in was held for the fighters yesterday  Sompong is not present, and the promoters say his match has been canceled  This is almost 100% confirmation that he will not be fighting ","คืนนี้ (17 เม ย ) จะมีการแข่งขันไทยไฟท์2012 นัดแรก หรือ นัดโชว์ตัว ที่แหลมบาลีฮาย พัทยา แต่จากการชั่งน้ำหนักวันก่อน นักมวยชื่อ ""บัวขาว"" ไม่ปรากฎตัวในนัดนี้ ผู้จัดงานอธิบายว่าได้ให้คู่แข่งของบัวขาวถูกตัดออกแล้ว ซึ่งสถานการณ์นี้ยืนยันให้สามารถกล่าวได้ว่า บัวขาวเป็นคนที่แน่นอนว่าจะไม่มาที่สนามชกในคืนนี้",แปลอังกฤษเป็นภาษาไทย
The cops used a water cannon to blast the package in front of the Krungthong Bank's Sisaket branch  It was a glass gift for a staff member who had forgotten it , เจ้าหน้าที่ใช้ปืนแรงดันน้ำยิงทำลายกล่องของขวัญต้องสงสัยวางอยู่หน้าธนาคารกสิกรไทย สาขาสีลม ปรากฏว่าเป็นกล่องของขวัญเครื่องแก้วของพนักงานที่ลืมไว้,แปลอังกฤษเป็นภาษาไทย
The cops used a water cannon to blast the package in front of the Krungthong Bank's Sisaket branch  It was a glass gift for a staff member who had forgotten it ,เจ้าหน้าที่ยิงบุกกล่องของขวัญด้วยปืนน้ำที่มีแรงดันสูงที่สาขาสีลมของกสิกรไทย พบว่าเป็นของขวัญเครื่องแก้วของพนักงานที่ลืมไว้ภายในหน้าธนาคารนั้น,แปลอังกฤษเป็นภาษาไทย
"Rom, the New Democracy Movement, said the parody is not a criminal act  Parodies are not crimes  The junta must stop persecuting people with different views on national security  We call for the end to the misuse of Article 116",โรม ขบวนการประชาธิไตยใหม่ ระบุคนล้อเลียนไม่ใช่อาชญากร การล้อเลียนไม่ใช่อาชญากรรม จี้ คสช  หยุดเล่นงานคนคิดต่างด้วยเรื่องความมั่นคง พร้อมขอหยุดใช้ ม 112 ตีความเกินขอบเขต ล้อ FREE DAY SAY FREEDOM,แปลอังกฤษเป็นภาษาไทย
"Rom, the New Democracy Movement, said the parody is not a criminal act  Parodies are not crimes  The junta must stop persecuting people with different views on national security  We call for the end to the misuse of Article 116",โรม ขบวนการประชาธิไตยใหม่ ระบุว่าการล้อเลียนไม่ใช่อาชญากร และการล้อเลียนไม่เป็นการกระทำผิดกฎหมาย จึงเรียกร้องให้คณะกรรมการควบคุมความมั่นคงหยุดการเพิ่มเติมของกติกา มาตรา 112 ที่มีข้อความที่เกินขอบเขต และเรียกร้องสำหรับวันสำรอง วันเสรีภาพ,แปลอังกฤษเป็นภาษาไทย
